Date,Price,Open,High,Low,Vol
7/12/2017,20279.4,20258.2,20342.8,19898.7,1520
7/13/2017,20660,20215.9,20660,20173.6,1950
7/14/2017,20596.6,20660,20702.3,20469.7,1090
7/17/2017,20300.5,20596.6,20596.6,20173.6,1820
7/18/2017,20215.9,20131.4,20300.5,20025.6,1740
7/19/2017,19835.3,20215.9,20427.4,19708.4,1980
7/20/2017,19793,19708.4,19835.3,19539.3,1800
7/21/2017,19539.3,19877.6,20004.5,19539.3,1330
7/24/2017,19666.1,19539.3,19708.4,19454.7,1200
7/25/2017,19750.7,19666.1,19835.3,19539.3,1190
7/26/2017,20215.9,19750.7,20215.9,19750.7,1410
7/27/2017,20385.1,20300.5,20575.4,20173.6,2500
7/28/2017,20533.1,20385.1,20575.4,20258.2,3240
7/31/2017,20448.5,20512,20554.3,20342.8,1330
8/1/2017,20723.5,20490.8,20913.8,20385.1,2920
8/2/2017,20892.6,20786.9,21104.1,20596.6,4320
8/3/2017,21188.7,21019.5,21611.6,20934.9,4010
8/4/2017,21188.7,21273.3,21315.6,20956.1,1660
8/7/2017,21082.9,21188.7,21188.7,21019.5,1540
8/8/2017,20702.3,21082.9,21146.4,20702.3,2930
8/9/2017,20469.7,20681.2,20681.2,20364,3700
8/10/2017,20681.2,20300.5,20702.3,20300.5,1750
8/11/2017,20913.8,20723.5,20934.9,20554.3,1100
8/14/2017,20808,21146.4,21146.4,20808,1550
8/15/2017,20681.2,20808,20808,20512,1650
8/16/2017,20554.3,20681.2,20681.2,20490.8,1640
8/17/2017,20467.9,20727,20813.4,20467.9,1280
8/18/2017,20511.1,20467.9,20640.6,20252,730.59
8/21/2017,20619.1,20727,20727,20511.1,714.19
8/22/2017,20338.4,20597.5,20619.1,20338.4,836.59
8/23/2017,20381.6,20295.2,20511.1,20295.2,1040
8/24/2017,20597.5,20467.9,20640.6,20381.6,870.92
8/25/2017,20511.1,20640.6,20662.2,20511.1,751.97
8/28/2017,20554.3,20424.7,20554.3,20403.1,1140
8/29/2017,20619.1,20511.1,20770.2,20489.5,1660
8/30/2017,20640.6,20575.9,20683.8,20532.7,646.71
8/31/2017,20942.9,20640.6,21072.5,20640.6,2240
9/1/2017,20986.1,20986.1,21007.7,20856.5,539.39
9/5/2017,20942.9,20986.1,20986.1,20835,898.04
9/6/2017,20813.4,20921.3,20921.3,20640.6,1030
9/7/2017,20683.8,20727,20856.5,20683.8,963.53
9/8/2017,20597.5,20727,20727,20597.5,959.89
9/11/2017,20446.3,20597.5,20813.4,20424.7,1690
9/12/2017,20770.2,20511.1,20770.2,20467.9,1710
9/13/2017,21050.9,20856.5,21331.5,20856.5,3900
9/14/2017,20878.1,21158.8,21158.8,20878.1,1720
9/15/2017,20813.4,20856.5,20942.9,20727,1590
9/18/2017,20878.1,20878.1,20899.7,20727,1610
9/19/2017,20899.7,20942.9,21094,20899.7,1750
9/20/2017,21007.7,21007.7,21050.9,20878.1,1270
9/21/2017,21331.5,21115.6,21417.9,21050.9,5360
9/22/2017,21353.1,21417.9,21569,21331.5,2800
9/25/2017,21094,21482.7,21482.7,21094,1500
9/26/2017,21158.8,21094,21158.8,20942.9,1760
9/27/2017,21158.8,21158.8,21331.5,21029.3,1740
9/28/2017,21137.2,21158.8,21266.8,20899.7,1550
9/29/2017,21050.9,21115.6,21158.8,20986.1,794.11
10/2/2017,20813.4,21050.9,21137.2,20748.6,1830
10/3/2017,20662.2,20813.4,20813.4,20575.9,2180
10/4/2017,20748.6,20683.8,20813.4,20640.6,1040
10/5/2017,20856.5,20899.7,21137.2,20727,1320
10/6/2017,21050.9,20856.5,21072.5,20856.5,1140
10/9/2017,21072.5,21158.8,21158.8,20986.1,1180
10/10/2017,21288.4,21050.9,21288.4,21050.9,2480
10/11/2017,21547.4,21331.5,21806.5,21288.4,5100
10/12/2017,22022.4,21590.6,22195.2,21590.6,4020
10/13/2017,22108.8,22108.8,22152,21849.7,2170
10/16/2017,22195.2,22022.4,22454.3,21979.3,2510
10/17/2017,22238.3,22238.3,22238.3,21979.3,1730
10/18/2017,21806.5,22195.2,22411.1,21806.5,2480
10/19/2017,21849.7,21806.5,22108.8,21633.8,1960
10/20/2017,21720.2,21720.2,21892.9,21590.6,1540
10/23/2017,21288.4,21720.2,21720.2,21288.4,2240
10/24/2017,21288.4,21288.4,21504.3,21223.6,1770
10/25/2017,21461.1,21374.7,21504.3,21288.4,1540
10/26/2017,21417.9,21504.3,21547.4,21158.8,2190
10/27/2017,21677,21331.5,21677,21223.6,1480
10/30/2017,21590.6,21677,21936.1,21547.4,3430
10/31/2017,21763.4,21590.6,22195.2,21417.9,3250
11/1/2017,21936.1,21806.5,22022.4,21763.4,1820
