"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2022","17,750.0","16,600.0","17,750.0","16,350.0","7.17M","6.93%"
"10/14/2022","16,600.0","16,750.0","16,950.0","16,500.0","5.08M","3.11%"
"10/13/2022","16,100.0","15,800.0","16,200.0","15,650.0","4.44M","4.55%"
"10/12/2022","15,400.0","15,600.0","16,800.0","15,100.0","7.42M","-3.75%"
"10/11/2022","16,000.0","17,100.0","17,100.0","16,000.0","4.56M","-6.98%"
"10/10/2022","17,200.0","16,600.0","17,500.0","15,850.0","5.77M","3.30%"
"10/07/2022","16,650.0","17,100.0","17,450.0","16,650.0","9.51M","-6.72%"
"10/06/2022","17,850.0","19,000.0","19,350.0","17,850.0","6.59M","-6.79%"
"10/05/2022","19,150.0","18,950.0","19,550.0","18,700.0","4.81M","3.23%"
"10/04/2022","18,550.0","20,150.0","20,350.0","18,550.0","7.88M","-6.78%"
"10/03/2022","19,900.0","21,000.0","21,800.0","19,900.0","7.20M","-6.79%"
"09/30/2022","21,350.0","21,300.0","21,950.0","20,800.0","12.30M","-4.47%"
"09/29/2022","22,350.0","23,950.0","24,100.0","22,350.0","12.65M","-6.88%"
"09/28/2022","24,000.0","25,550.0","25,700.0","24,000.0","14.54M","-6.98%"
"09/27/2022","25,800.0","26,400.0","26,500.0","25,800.0","6.35M","-0.77%"
"09/26/2022","26,000.0","24,700.0","26,000.0","24,100.0","12.74M","3.17%"
"09/23/2022","25,200.0","25,950.0","26,650.0","25,200.0","10.52M","-2.33%"
"09/22/2022","25,800.0","24,850.0","25,800.0","24,750.0","7.83M","3.82%"
"09/21/2022","24,850.0","24,000.0","25,800.0","24,000.0","9.69M","2.05%"
"09/20/2022","24,350.0","25,250.0","25,300.0","23,900.0","8.41M","-2.40%"
"09/19/2022","24,950.0","25,500.0","26,150.0","24,800.0","10.64M","-1.19%"
"09/16/2022","25,250.0","23,900.0","25,500.0","23,750.0","15.12M","5.21%"
"09/15/2022","24,000.0","24,500.0","24,750.0","23,950.0","5.32M","-0.83%"
"09/14/2022","24,200.0","22,500.0","24,400.0","22,500.0","15.92M","5.22%"
"09/13/2022","23,000.0","22,150.0","23,000.0","22,050.0","4.39M","4.31%"
"09/12/2022","22,050.0","22,750.0","22,800.0","22,050.0","2.31M","-1.12%"
"09/09/2022","22,300.0","22,200.0","22,400.0","20,750.0","4.19M","1.36%"
"09/08/2022","22,000.0","22,900.0","22,900.0","21,900.0","4.36M","-2.22%"
"09/07/2022","22,500.0","23,000.0","23,400.0","22,500.0","6.86M","-2.60%"
"09/06/2022","23,100.0","22,700.0","23,450.0","22,600.0","6.96M","2.90%"
"09/05/2022","22,450.0","21,700.0","22,650.0","21,700.0","3.41M","3.70%"
"08/31/2022","21,650.0","21,600.0","21,950.0","21,500.0","2.23M","-0.23%"
"08/30/2022","21,700.0","21,950.0","22,150.0","21,700.0","2.80M","0.00%"
"08/29/2022","21,700.0","21,450.0","22,100.0","21,300.0","4.36M","-2.69%"
"08/26/2022","22,300.0","22,550.0","22,850.0","22,300.0","3.24M","-1.55%"
"08/25/2022","22,650.0","22,600.0","22,850.0","22,500.0","2.40M","0.00%"
"08/24/2022","22,650.0","22,650.0","23,000.0","22,550.0","2.68M","0.22%"
"08/23/2022","22,600.0","21,200.0","22,600.0","21,200.0","3.09M","4.63%"
"08/22/2022","21,600.0","22,250.0","22,400.0","21,550.0","4.84M","-4.00%"
"08/19/2022","22,500.0","23,150.0","23,300.0","22,250.0","6.03M","-2.81%"
"08/18/2022","23,150.0","23,300.0","23,500.0","23,150.0","2.96M","-1.07%"
"08/17/2022","23,400.0","24,100.0","24,250.0","23,350.0","4.19M","-1.68%"
"08/16/2022","23,800.0","23,500.0","24,000.0","23,350.0","5.14M","1.93%"
"08/15/2022","23,350.0","23,150.0","23,400.0","23,000.0","5.45M","1.30%"
"08/12/2022","23,050.0","23,000.0","23,400.0","22,900.0","3.32M","0.22%"
"08/11/2022","23,000.0","24,450.0","24,450.0","22,900.0","5.14M","-3.77%"
"08/10/2022","23,900.0","23,500.0","24,400.0","23,300.0","4.49M","1.49%"
"08/09/2022","23,550.0","23,850.0","23,850.0","23,450.0","3.14M","-0.63%"
"08/08/2022","23,700.0","23,800.0","24,400.0","23,600.0","3.64M","0.00%"
"08/05/2022","23,700.0","23,200.0","23,700.0","23,000.0","3.51M","1.94%"
"08/04/2022","23,250.0","23,450.0","23,850.0","23,200.0","3.41M","-0.64%"
"08/03/2022","23,400.0","23,200.0","23,800.0","22,900.0","5.16M","-0.43%"
"08/02/2022","23,500.0","23,500.0","23,950.0","23,350.0","5.15M","0.86%"
"08/01/2022","23,300.0","22,900.0","23,450.0","22,800.0","5.09M","3.56%"
"07/29/2022","22,500.0","22,450.0","22,850.0","22,200.0","3.57M","0.45%"
"07/28/2022","22,400.0","22,900.0","23,150.0","22,400.0","4.54M","0.00%"
"07/27/2022","22,400.0","21,200.0","22,400.0","21,200.0","4.36M","4.19%"
"07/26/2022","21,500.0","20,850.0","21,800.0","20,850.0","5.24M","3.12%"
"07/25/2022","20,850.0","21,100.0","21,300.0","20,800.0","3.18M","-1.18%"
"07/22/2022","21,100.0","20,750.0","21,750.0","20,750.0","4.55M","1.69%"
"07/21/2022","20,750.0","20,800.0","21,200.0","20,650.0","2.72M","-1.43%"
"07/20/2022","21,050.0","21,200.0","21,650.0","20,900.0","3.08M","2.18%"
"07/19/2022","20,600.0","20,900.0","20,950.0","20,150.0","2.81M","-1.67%"
"07/18/2022","20,950.0","20,100.0","21,250.0","20,000.0","7.45M","5.28%"
"07/15/2022","19,900.0","19,700.0","20,200.0","19,700.0","2.96M","1.02%"
"07/14/2022","19,700.0","19,200.0","19,700.0","19,200.0","2.48M","1.55%"
"07/13/2022","19,400.0","19,800.0","20,150.0","19,400.0","3.63M","-1.27%"
"07/12/2022","19,650.0","18,900.0","19,750.0","18,800.0","2.89M","3.97%"
"07/11/2022","18,900.0","18,550.0","19,250.0","18,450.0","4.13M","2.72%"
"07/08/2022","18,400.0","17,400.0","18,400.0","17,400.0","2.80M","6.98%"
"07/07/2022","17,200.0","17,000.0","17,450.0","16,850.0","1.79M","0.58%"
"07/06/2022","17,100.0","17,400.0","17,800.0","17,100.0","2.28M","-2.56%"
"07/05/2022","17,550.0","18,500.0","18,500.0","17,550.0","2.04M","-4.62%"
"07/04/2022","18,400.0","18,600.0","18,650.0","18,150.0","1.45M","1.10%"
"07/01/2022","18,200.0","17,500.0","18,400.0","17,100.0","2.53M","4.00%"
"06/30/2022","17,500.0","18,800.0","19,200.0","17,500.0","2.40M","-5.41%"
"06/29/2022","18,500.0","18,318.0","18,545.0","18,045.0","3.72M","0.74%"
"06/28/2022","18,364.0","18,091.0","18,864.0","18,091.0","2.89M","2.28%"
"06/27/2022","17,955.0","17,591.0","18,000.0","17,273.0","2.38M","2.34%"
"06/24/2022","17,545.0","17,545.0","18,091.0","17,364.0","3.26M","1.04%"
"06/23/2022","17,364.0","17,136.0","17,364.0","16,773.0","1.65M","1.33%"
"06/22/2022","17,136.0","16,364.0","17,136.0","16,091.0","3.55M","6.80%"
"06/21/2022","16,045.0","16,091.0","17,136.0","16,000.0","6.09M","-6.62%"
"06/20/2022","17,182.0","18,182.0","18,909.0","17,182.0","2.76M","-6.90%"
"06/17/2022","18,455.0","19,000.0","19,182.0","18,455.0","6.26M","-6.88%"
"06/16/2022","19,818.0","20,182.0","20,500.0","19,818.0","2.77M","0.00%"
"06/15/2022","19,818.0","22,182.0","22,182.0","19,818.0","5.25M","-6.84%"
"06/14/2022","21,273.0","21,273.0","21,955.0","21,000.0","3.21M","-2.50%"
"06/13/2022","21,818.0","22,636.0","22,818.0","21,818.0","4.91M","-6.98%"
"06/10/2022","23,455.0","23,273.0","24,182.0","23,273.0","4.36M","-0.77%"
"06/09/2022","23,636.0","23,455.0","24,045.0","23,455.0","2.51M","0.77%"
"06/08/2022","23,455.0","22,727.0","23,545.0","22,727.0","3.43M","4.45%"
"06/07/2022","22,455.0","22,727.0","22,773.0","21,364.0","4.23M","-1.59%"
"06/06/2022","22,818.0","23,273.0","23,909.0","22,727.0","3.63M","-2.72%"
"06/03/2022","23,455.0","24,182.0","24,273.0","23,136.0","4.68M","-3.01%"
"06/02/2022","24,182.0","24,955.0","25,273.0","24,182.0","3.49M","-2.92%"
"06/01/2022","24,909.0","24,727.0","25,318.0","24,636.0","2.93M","0.55%"
"05/31/2022","24,773.0","24,500.0","25,091.0","24,318.0","4.03M","0.93%"
"05/30/2022","24,545.0","24,727.0","25,091.0","24,455.0","2.60M","0.18%"
"05/27/2022","24,500.0","24,500.0","24,909.0","24,364.0","2.86M","0.18%"
"05/26/2022","24,455.0","25,000.0","25,273.0","24,455.0","3.65M","-2.00%"
"05/25/2022","24,955.0","23,818.0","25,000.0","23,773.0","4.06M","5.58%"
"05/24/2022","23,636.0","24,091.0","24,091.0","22,818.0","3.08M","-1.14%"
